"year","wind.trend","ice.trend"
1951,0.285367660620622,0.359205063758927
1952,0.428961225441206,0.353629840948714
1953,0.626816693905417,0.29792119132746
1954,0.754891918259649,0.577834105977457
1955,1.11745766065472,0.481632226911111
1956,1.31342385251593,0.762338072199056
1957,1.13671588390144,0.994780144181856
1958,1.22381653603853,0.499687627600352
1959,1.3662808080151,0.015830948644951
1960,1.32119672043162,0.321681643493497
1961,1.24026023770308,0.0194827939394737
1962,1.29599566800344,-1.00586206009679
1963,1.21465733286221,-0.39732078826686
1964,1.0802627330861,0.485974430455479
1965,0.808027546443912,0.552532996601119
1966,0.663812427991888,-0.295132312482407
1967,0.373922079111678,0.06433107594488
1968,0.215620923937918,-0.535014990274627
1969,0.0527858778578026,-0.592506681444171
1970,0.0610050544343335,-0.262353625126712
1971,0.178460583110029,0.517472246294658
1972,0.096611255826446,-0.258049493407284
1973,0.151967905332182,-0.153048350728977
1974,0.0230679398267669,0.101901018509154
1975,-0.239224225269117,1.22116337696336
1976,-0.719347705834034,1.71706428353346
1977,-1.397016818522,1.29715325127783
1978,-2.27499511595209,-0.469850264487649
1979,-2.85409717359248,-1.17365110829076
1980,-2.87989201881377,0.231434789616256
1981,-2.99331106193597,0.191235766117899
1982,-3.17325625632165,-0.725699408672322
1983,-3.32182980173522,-0.114595076148807
1984,-3.27393254760427,-0.630014204940584
1985,-3.27847583579347,-1.19653912218327
1986,-3.33744633124096,-0.653545237458752
1987,-3.23743199130136,-0.801623671421385
1988,-3.05871415743887,-1.08648824915539
1989,-2.94317716944904,0.274194131105479
1990,-2.62217436302333,-0.228990941874238
1991,-2.18523177401194,-0.286969312020856
1992,-2.02585665511859,0.265339301578992
1993,-1.84471329513926,0.39490296350645
1994,-1.46316956908376,-0.206029268910983
1995,-1.21315802487371,0.591693186472109
1996,-1.31910496633634,-0.884880943235211
1997,-1.19389086907963,-0.127864915364805
1998,-0.945587718207424,0.605454338597378
1999,-0.644807395087278,-0.0567655167547221
2000,-0.440434873333866,2.2122052612977
2001,-0.171174418068925,-0.876985596416396
2002,0.296821143107953,1.35821245348123
2003,0.71284300518753,-0.817014197781919
2004,1.30674527983323,-1.25874977270931
2005,2.18519270220487,-1.24065447573224
2006,3.21014896351225,-0.570206934038729
2007,3.87362783205816,-0.360175318917299
2008,4.16718247234619,-0.054140471361314
2009,3.99674025446727,1.88830879593506
2010,3.89927062349521,0.167771666928579
2011,4.19270826663244,-0.369984224182554
2012,4.569305427142,-0.363683375833202
2013,4.52823914797729,-0.582228775453651
