"year","wind.trend","ice.trend","recruit.trend"
1951,0.285367660620622,0.359205063758927,NA
1952,0.428961225441206,0.353629840948714,NA
1953,0.626816693905417,0.29792119132746,NA
1954,0.754891918259649,0.577834105977457,NA
1955,1.11745766065472,0.481632226911111,NA
1956,1.31342385251593,0.762338072199056,NA
1957,1.13671588390144,0.994780144181856,NA
1958,1.22381653603853,0.499687627600352,NA
1959,1.3662808080151,0.015830948644951,NA
1960,1.32119672043162,0.321681643493497,NA
1961,1.24026023770308,0.0194827939394737,NA
1962,1.29599566800344,-1.00586206009679,NA
1963,1.21465733286221,-0.39732078826686,NA
1964,1.0802627330861,0.485974430455479,NA
1965,0.808027546443912,0.552532996601119,NA
1966,0.663812427991888,-0.295132312482407,NA
1967,0.373922079111678,0.06433107594488,NA
1968,0.215620923937918,-0.535014990274627,NA
1969,0.0527858778578026,-0.592506681444171,3.03753606328421
1970,0.0610050544343335,-0.262353625126712,3.37447243183601
1971,0.178460583110029,0.517472246294658,3.59610597399768
1972,0.096611255826446,-0.258049493407284,3.87145057885558
1973,0.151967905332182,-0.153048350728977,4.30784005159738
1974,0.0230679398267669,0.101901018509154,4.47948059623444
1975,-0.239224225269117,1.22116337696336,4.26215132892032
1976,-0.719347705834034,1.71706428353346,3.84669322782695
1977,-1.397016818522,1.29715325127783,3.09659374882053
1978,-2.27499511595209,-0.469850264487649,2.0929455789612
1979,-2.85409717359248,-1.17365110829076,1.15987798493861
1980,-2.87989201881377,0.231434789616256,0.201713103314881
1981,-2.99331106193597,0.191235766117899,-0.496542447594378
1982,-3.17325625632165,-0.725699408672322,-0.867338913961289
1983,-3.32182980173522,-0.114595076148807,-0.743541612916847
1984,-3.27393254760427,-0.630014204940584,-1.16235429505544
1985,-3.27847583579347,-1.19653912218327,-1.46186939316543
1986,-3.33744633124096,-0.653545237458752,-1.4944520801108
1987,-3.23743199130136,-0.801623671421385,-1.53717326568337
1988,-3.05871415743887,-1.08648824915539,-1.24141798383482
1989,-2.94317716944904,0.274194131105479,-1.42846252657826
1990,-2.62217436302333,-0.228990941874238,-1.77387514118304
1991,-2.18523177401194,-0.286969312020856,-1.93935969029224
1992,-2.02585665511859,0.265339301578992,-2.19774011082508
1993,-1.84471329513926,0.39490296350645,-2.28532385402831
1994,-1.46316956908376,-0.206029268910983,-2.09471493505456
1995,-1.21315802487371,0.591693186472109,-1.68098095717503
1996,-1.31910496633634,-0.884880943235211,-1.96211710762755
1997,-1.19389086907963,-0.127864915364805,-2.01030433953489
1998,-0.945587718207424,0.605454338597378,-1.68631187995239
1999,-0.644807395087278,-0.0567655167547221,-1.16586505548937
2000,-0.440434873333866,2.2122052612977,-1.10223888765784
2001,-0.171174418068925,-0.876985596416396,-1.26483667360742
2002,0.296821143107953,1.35821245348123,-1.68321187898536
2003,0.71284300518753,-0.817014197781919,-1.78238011793227
2004,1.30674527983323,-1.25874977270931,-1.55749324342153
2005,2.18519270220487,-1.24065447573224,-1.17589876384161
2006,3.21014896351225,-0.570206934038729,-0.307664364490346
2007,3.87362783205816,-0.360175318917299,0.427909396136825
2008,4.16718247234619,-0.054140471361314,0.862554086944599
2009,3.99674025446727,1.88830879593506,NA
2010,3.89927062349521,0.167771666928579,NA
2011,4.19270826663244,-0.369984224182554,NA
2012,4.569305427142,-0.363683375833202,NA
2013,4.52823914797729,-0.582228775453651,NA
